region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3005,DE VALPARAISO,2564,ALGARROBO,8217,1978,2877,90,568,472,1352,817,APRUEBO,4932,7086,4932,,.54947269,1131
3013,METROPOLITANA DE SANTIAGO,2801,ALHUE,2517,636,467,31,357,151,320,520,APRUEBO,2323,2640,2323,,.43520987,-123
3008,DEL BIOBIO,2674,ALTO BIOBIO,1997,377,502,40,255,119,155,399,APRUEBO,1269,1805,1269,,.3286522,192
3003,DE ATACAMA,2523,ALTO DEL CARMEN,1966,260,265,11,365,56,87,891,APRUEBO,1559,1817,1559,,.37220284,149
3001,DE TARAPACA,2502,ALTO HOSPICIO,24579,3183,5860,263,9884,1712,1212,2212,APRUEBO,21589,26258,21589,,.45195872,-1679
3010,DE LOS LAGOS,2717,ANCUD,15766,3793,4372,230,2120,938,1826,2350,APRUEBO,11694,14360,11694,,.36882463,1406
3004,DE COQUIMBO,2528,ANDACOLLO,4699,1181,661,64,1172,408,307,797,APRUEBO,5450,6071,5450,,.54032618,-1372
3009,DE LA ARAUCANIA,2696,ANGOL,21268,2805,9972,153,3070,940,2014,2197,APRUEBO,12017,19520,12017,,.41154131,1748
3012,DE MAGALLANES Y DE LA ANTARTICA CHILENA,2752,ANTARTICA,47,4,34,0,4,2,2,1,APRUEBO,10,31,10,,.11524164,16
3002,DE ANTOFAGASTA,2508,ANTOFAGASTA,123307,28156,27264,1635,36236,8870,9976,10143,APRUEBO,119986,144079,119986,,.50566655,-20772
3008,DEL BIOBIO,2662,ANTUCO,1881,245,547,17,400,91,210,332,APRUEBO,1341,1793,1341,,.39337429,88
3008,DEL BIOBIO,2655,ARAUCO,14603,2203,4983,123,3366,862,1138,1687,APRUEBO,10377,14467,10377,,.46861628,136
3015,DE ARICA Y PARINACOTA,2822,ARICA,81947,14763,24070,952,23034,4536,6020,7921,APRUEBO,64022,84326,64022,,.46673876,-2379
3011,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2739,AYSEN,8981,2188,2314,126,1664,551,716,1402,APRUEBO,7223,8984,7223,,.39999107,-3
3013,METROPOLITANA DE SANTIAGO,2797,BUIN,39907,10500,11636,513,5237,3199,4609,3809,APRUEBO,33238,40587,33238,,.54755068,-680
3016,DE ÑUBLE,2827,BULNES,8709,1265,3045,79,965,458,1273,1455,APRUEBO,5574,7803,5574,,.38030022,906
3005,DE VALPARAISO,2554,CABILDO,7885,2322,1427,101,1308,680,663,1258,APRUEBO,7948,9099,7948,,.50313246,-1214
